depth, y, x
 -280, 148.25012207034132, 44.895428656085407
 -28, 148.18420410159135, 44.739564547515656
 -285, 148.14025878909138, 44.457947489010699
 -712, 148.14025878909138, 44.064548576979881
 -2100, 148.0303955078414, 43.874782204812696
 -2612, 147.96447753909143, 43.588996015666197
 -3227, 147.70080566409149, 43.333819233669573
 -3183, 147.2393798828416, 43.157760562670312
 -5005, 147.2833251953416, 42.787994183658782
 -6796, 147.2174072265916, 42.399781908692582
 -3989, 146.49230957034183, 42.497061665990501
 -1708, 145.56945800784203, 42.771866961359535
 -102, 145.08605957034217, 42.868567281769387
 -1677, 144.69055175784229, 42.52945467692922
 -992, 144.2730712890924, 42.464651866518167
 -122, 143.87756347659248, 42.52945467692922
 -916, 143.89953613284248, 42.090733057335868
 -1125, 143.96545410159246, 41.681784808976843
 -2593, 143.96545410159246, 41.369234613825462
 -2138, 143.63586425784257, 40.939089847833408
 -1979, 143.41613769534263, 40.656316511961037
 -1648, 143.15246582034271, 40.506125579425756
 -1562, 142.84484863284277, 40.68964647080729
 -1674, 142.75695800784277, 40.905884927362159
 -1678, 142.75695800784277, 41.237183037337317
 -1104, 142.64709472659283, 41.56681040168484
 -806, 142.6251220703428, 41.878406654434677
 -975, 142.38342285159291, 41.943813269408615
 -940, 142.031860351593, 42.074425399160482
 -703, 141.63635253909311, 42.17220847092527
 -521, 141.48254394534311, 42.17220847092527
 -374, 141.46057128909314, 41.911118339395024
 -220, 141.32873535159317, 41.59968115156282
 -269, 141.1968994140932, 41.533922919866541
 -180, 140.93322753909328, 41.59968115156282
 -192, 140.77941894534331, 41.550368752123525
 -199, 140.62561035159334, 41.402205720019559
 -540, 141.76818847659305, 41.038604495606791
 -91, 141.76818847659305, 40.62296989364927
 -75, 141.81213378909308, 40.472704030673796
 -240, 142.14172363284297, 40.322101151610056
 -1016, 142.64709472659283, 40.137573709352935
 -1294, 143.04260253909271, 40.10396926460168
 -1300, 143.02062988284274, 40.019885503204449
 -3231, 147.2833251953416, 45.483869890579626
 -3290, 146.90979003909166, 45.422215190339202
 -2813, 146.38244628909183, 45.221371896475986
 -2877, 145.87707519534194, 44.708341168879677
 -1994, 145.32775878909212, 44.770771074033426
 -1264, 144.9322509765922, 44.473628689014603
 -850, 144.58068847659231, 44.237968403617245
 -1572, 144.51477050784231, 44.708341168879677
 -980, 144.51477050784231, 45.221371896475986
 -912, 144.49279785159237, 45.391362563880968
 -847, 144.18518066409243, 45.622346532928141
 -318, 143.83361816409248, 45.2523172074334
 -176, 143.81164550784254, 44.92655092005959
 -164, 143.81164550784254, 44.645843855981191
 -142, 143.81164550784254, 44.426572451697808
 -67, 143.61389160159257, 44.379478303148971
 -52, 143.28430175784268, 44.504978451502268
 -113, 143.15246582034271, 44.75516991729959
 -130, 143.15246582034271, 45.081909448100348
 -119, 143.15246582034271, 45.40679098349969
 -114, 142.97668457034274, 45.683782187878187
 -80, 142.7349853515928, 45.913565714086722
 -80, 142.55920410159285, 45.622346532928141
 -53, 142.49328613284285, 45.221371896475986
 -44, 142.18566894534294, 45.545457189196043
 -60, 141.87805175784302, 45.76048198692726
 -80, 141.65832519534308, 46.127175492329258
 -94, 141.59240722659311, 45.668429592278216
 -120, 141.17492675784322, 45.668429592278216
 -688, 140.93322753909328, 45.852382759796555
 -841, 140.51574707034337, 45.959408713416217
 -1467, 139.87854003909356, 45.989949658639226
 -698, 139.81262207034356, 45.499273034039561
 -440, 140.33996582034345, 45.314157273035306
 -337, 140.58166503909334, 45.112930595361391
 -266, 140.60363769534339, 44.864289539408887
 -317, 140.53771972659339, 44.316627134316093
 -306, 141.13098144534325, 44.332346244666951
 -388, 140.88928222659328, 43.969741179462972
 -100, 141.30676269534317, 44.096117355986841
 -229, 141.10900878909325, 43.716180461117609
 -74, 141.10900878909325, 43.525302795107294
 -46, 140.99914550784328, 43.317834927535884
 -666, 140.66955566409337, 43.477488699238414
 -1254, 140.09826660159351, 43.525302795107294
 -908, 140.01037597659351, 43.269856774034338
 -189, 140.33996582034345, 43.09361308260317
 -664, 140.01037597659351, 42.852461064532605
 -3367, 139.65881347659362, 43.125695231015754
 -2475, 139.61486816409362, 43.4934309386148
 -2365, 139.61486816409362, 43.732059577542302
 -1667, 139.59289550784365, 44.048757871001818
 -1130, 139.54895019534362, 44.253708573423907
 -414, 139.48303222659365, 44.598926635959906
 -1591, 139.37316894534365, 44.895428656085407
 -1015, 139.37316894534365, 45.205892921389122
 -1894, 139.19738769534374, 45.591603432397065
 -1934, 139.04357910159376, 45.913565714086722
 -1548, 138.69201660159388, 46.005213815179161
 -1175, 138.42834472659396, 46.035729496506619
 -80, 138.12072753909402, 46.020473761108512
 -40, 137.98889160159408, 46.020473761108512
 -58, 137.8790283203441, 45.882982659346801
 -78, 137.63732910159413, 45.683782187878187
 -1249, 137.7691650390941, 45.391362563880968
 -1672, 137.8790283203441, 45.2523172074334
 -1784, 138.51623535159391, 44.645843855981191
 -1514, 138.51623535159391, 44.598926635959906
 -2420, 138.36242675784396, 44.551971500826589
 -2381, 137.83508300784408, 44.489305676525703
 -2063, 137.61535644534416, 44.75516991729959
 -1532, 137.50549316409416, 44.910991894664313
 -990, 137.46154785159419, 45.004282849097962
 -166, 137.30773925784425, 45.159430717495823
 -2103, 137.52746582034416, 44.442262076557014
 -2610, 137.61535644534416, 43.906452037134116
 -3532, 137.63732910159413, 43.541232411979614
 -3646, 137.68127441409413, 43.157760562670312
 -3642, 137.72521972659413, 42.804117205307278
 -3653, 137.72521972659413, 42.52945467692922
